id,val
11,"it('test 1 for med 1', () => {
			expect(med1('aba')).to.eql(true);
		});"
11,"it('test 2 for med 1', () => {
			expect(med1('baa')).to.eql(false);
		});"
11,"it('test 3 for med 1', () => {
			expect(med1('racecar')).to.eql(true);
		});"
11,"it('test 4 for med 1', () => {
			expect(med1('bbb')).to.eql(true);
		});"
11,"it('test 5 for med 1', () => {
			expect(med1('abc')).to.eql(false);
		});"
11,"it('test 6 for med 1', () => {
			expect(med1('')).to.eql(true);
		});"
11,"it('test 7 for med 1', () => {
			expect(med1('gg')).to.eql(true);
		});"
11,"it('test 8 for med 1', () => {
			expect(med1('yolo')).to.eql(false);
		});"
11,"it('test 9 for med 1', () => {
			expect(med1('f')).to.eql(true);
		});"
11,"it('test 10 for med 1', () => {
			expect(med1('y1miy')).to.eql(false);
		});"
12,"it('test 1 for med 2', () => {
			expect(med2(2)).to.eql(true);
		});"
12,"it('test 2 for med 2', () => {
			expect(med2(1)).to.eql(false);
		});"
12,"it('test 3 for med 2', () => {
			expect(med2(3)).to.eql(true);
		});"
12,"it('test 4 for med 2', () => {
			expect(med2(5)).to.eql(true);
		});"
12,"it('test 5 for med 2', () => {
			expect(med2(4)).to.eql(false);
		});"
12,"it('test 6 for med 2', () => {
			expect(med2(7)).to.eql(true);
		});"
12,"it('test 7 for med 2', () => {
			expect(med2(0)).to.eql(false);
		});"
12,"it('test 8 for med 2', () => {
			expect(med2(8)).to.eql(false);
		});"
12,"it('test 9 for med 2', () => {
			expect(med2(11)).to.eql(true);
		});"
12,"it('test 10 for med 2', () => {
			expect(med2(12)).to.eql(false);
		});"
101,"it('test 1 for hard 1', () => {
			expect(hard1([1,2,3,4,5])).to.eql([2,4]);
		});"
101,"it('test 2 for hard 1', () => {
			expect(hard1([])).to.eql([]);
		});"
101,"it('test 3 for hard 1', () => {
			expect(hard1([3,3,3])).to.eql([]);
		});"
101,"it('test 4 for hard 1', () => {
			expect(hard1([4,4,4,4])).to.eql([4,4,4,4]);
		});"
101,"it('test 5 for hard 1', () => {
			expect(hard1([0,0,0])).to.eql([0,0,0]);
		});"
101,"it('test 6 for hard 1', () => {
			expect(hard1([2])).to.eql([2]);
		});"
101,"it('test 7 for hard 1', () => {
			expect(hard1([3,2])).to.eql([2]);
		});"
101,"it('test 8 for hard 1', () => {
			expect(hard1([6,7,8])).to.eql([6, 8]);
		});"
101,"it('test 9 for hard 1', () => {
			expect(hard1([0,-1,-3,-5])).to.eql([0]);
		});"
101,"it('test 10 for hard 1', () => {
			expect(hard1([-9,-1,1])).to.eql([]);
		});"
102,"it('test 1 for hard 2', () => {
			expect(hard2(0)).to.eql(1);
		});"
102,"it('test 2 for hard 2', () => {
			expect(hard2(1)).to.eql(1);
		});"
102,"it('test 3 for hard 2', () => {
			expect(hard2(6)).to.eql(720);
		});"
102,"it('test 4 for hard 2', () => {
			expect(hard2(3)).to.eql(6);
		});"
102,"it('test 5 for hard 2', () => {
			expect(hard2(5)).to.eql(120);
		});"
102,"it('test 6 for hard 2', () => {
			expect(hard2(2)).to.eql(2);
		});"
102,"it('test 7 for hard 2', () => {
			expect(hard2(4)).to.eql(24);
		});"
102,"it('test 8 for hard 2', () => {
			expect(hard2(7)).to.eql(5040);
		});"
102,"it('test 9 for hard 2', () => {
			expect(hard2(8)).to.eql(40320);
		});"
102,"it('test 10 for hard 2', () => {
			expect(hard2(9)).to.eql(362880);
		});"
